index,ID,Name,Type,City,Zip,Grade,Rating1,Rating2,RatingAll,lat,lon,Enrollment
298,18850,River Ridge Elementary School,public,Austin,78732,PK-5,10,5,13.5,30.34612,-97.91629,784
299,20086,Skybridge Academy,private,Austin,78736,6-12,10,5,13.5,30.231865,-98.001045,40
300,10900,Austin Discovery School,charter,Austin,78724,K-8,4,4,6.4,30.267902,-97.63531,543
301,12099,Kipp Austin Collegiate,charter,Austin,78724,9-12,7,4,9.700000000000001,30.27235,-97.638405,627
302,19925,Kipp Austin Academy Of Arts & Lett,charter,Austin,78724,5-8,7,3,9.200000000000001,30.27235,-97.638405,427
303,20398,Kipp Austin Beacon Prep,charter,Austin,78724,5-8,4,3,5.9,30.27235,-97.638405,426
304,20399,Kipp Austin Vista Middle Schools,charter,Austin,78724,5-8,4,3,5.9,30.27235,-97.638405,431
305,20400,Kipp Austin Comunidad,charter,Austin,78724,PK-4,4,5,6.9,30.27235,-97.638405,603
306,20401,Kipp Austin Connections Elementary School,charter,Austin,78724,PK-4,3,5,5.800000000000001,30.27235,-97.638405,601
307,25309,KIPP Austin Brave,charter,Austin,78724,9-12,3,5,5.800000000000001,30.27235,-97.638405,601
308,10705,Kipp Austin College Prep,charter,Austin,78724,5-8,4,4,6.4,30.270355,-97.63019,431
309,11475,Travis County State Jail,public,Austin,78724,n/a,6,3,8.100000000000001,30.278334,-97.64186,319
310,19852,Dailey Middle School,public,Austin,78725,6-8,3,2,4.300000000000001,30.243408,-97.59058,710
311,20411,Joseph Gilbert Elementary School,public,Austin,78724,PK-5,4,2,5.4,30.258514,-97.59251,680
312,2035,Baty Elementary School,public,Austin,78741,PK-5,3,3,4.800000000000001,30.227068,-97.712814,768
313,24649,IDEA Montopolis College Preparatory,charter,Austin,78741,6-12,7,3,9.200000000000001,30.226158,-97.699524,1374
314,24651,IDEA Montopolis Academy,charter,Austin,78741,K-5,6,5,9.100000000000001,30.226158,-97.699524,1374
